company_id,company_name,domain,industry,country,number_of_employees,create_date
1000000,Acumed ApS,acumed.com,Dental,Switzerland,11-50,2025-05-05 21:19:33
1000106,BioVance d.o.o.,biovance.com,Healthcare IT,Germany,501-1000,2025-05-05 11:38:37
1000379,ClearPath S.A.,clearpath.com,Dental,Sweden,501-1000,2024-07-13 19:38:57
1000486,DentalPro GmbH,dentalpro.co,Healthcare IT,United Kingdom,11-50,2025-04-24 05:18:11
1000636,EvoMed SAS,evomed.co,Medical Devices,Norway,11-50,2025-06-05 21:49:59
1000807,FlexiSurg d.o.o.,flexisurg.io,Cardiovascular,Norway,51-200,2024-10-05 23:41:34
1000994,GenomaTech AG,genomatech.com,Imaging,United States,51-200,2024-07-15 04:47:06
1001191,HealthBridge S.r.l.,healthbridge.com,Diagnostics,United Kingdom,1-10,2024-12-27 22:58:19
1001477,InnoCare Oy,innocare.eu,Imaging,Poland,11-50,2025-03-10 15:55:28
1001737,JointFlex d.o.o.,jointflex.com,Neurology,Germany,11-50,2025-03-30 04:44:09
1001848,KineMed S.L.,kinemed.com,Imaging,Austria,51-200,2024-10-06 00:48:52
1002045,LifeLink Inc,lifelink.de,Biotechnology,United States,1001-5000,2024-10-01 00:12:45
1002316,MedCore SE,medcore.co,Prosthetics,United Kingdom,51-200,2024-09-20 21:05:10
1002602,NovaScan ApS,novascan.co,Pharmaceuticals,Switzerland,1-10,2025-04-09 20:50:56
1002758,OrthoGen S.r.l.,orthogen.eu,Cardiovascular,Poland,1001-5000,2024-10-01 08:34:54
1002960,PrecisionRx Inc,precisionrx.de,Prosthetics,Austria,51-200,2025-01-15 03:34:06
1003227,QualiTech SE,qualitech.de,Ophthalmology,Finland,501-1000,2025-02-12 13:05:08
1003517,RegenMed S.A.,regenmed.co,Digital Health,Sweden,201-500,2024-11-13 10:22:37
1003719,SurgiSafe AG,surgisafe.com,Orthopedics,Ireland,201-500,2024-08-09 20:21:48
1003847,TechVita AB,techvita.com,Prosthetics,Sweden,51-200,2024-11-22 09:36:01
1004045,UniMed Oy,unimed.com,Healthcare IT,Norway,51-200,2025-04-26 08:52:36
1004319,VascuTech S.r.l.,vascutech.eu,Orthopedics,Italy,1-10,2024-10-13 03:06:33
1004447,WellPath d.o.o.,wellpath.eu,Clinical Research,Germany,1001-5000,2025-05-15 05:12:05
1004675,XenoMed Ltd,xenomed.co,Imaging,Norway,11-50,2024-08-30 21:39:25
1004930,ZenithBio Oy,zenithbio.co,Regulatory Consulting,Germany,1-10,2025-03-01 17:13:27
1005030,AlphaDevice Inc,alphadevice.eu,Biotechnology,Germany,1001-5000,2024-06-27 11:19:23
1005191,BetaLab SAS,betalab.com,Digital Health,Austria,1001-5000,2025-01-30 10:43:16
1005485,CardioSync SAS,cardiosync.co,Wound Care,Switzerland,501-1000,2024-09-30 03:08:27
1005627,DiagnosTech S.r.l.,diagnostech.de,Imaging,Italy,501-1000,2025-04-24 18:38:04
1005909,EliteMed SAS,elitemed.com,Surgical Instruments,Germany,501-1000,2025-03-24 00:20:55
1006072,FrontierBio Oy,frontierbio.de,Biotechnology,Czech Republic,1001-5000,2025-03-22 09:06:15
1006322,GlucoSense GmbH,glucosense.de,Surgical Instruments,Germany,501-1000,2025-11-27 11:28:45
1006439,HelioCare B.V.,heliocare.eu,Healthcare IT,Austria,1001-5000,2025-06-27 04:13:51
1006710,ImmunoGen AB,immunogen.co,Regulatory Consulting,United Kingdom,11-50,2025-03-30 16:39:21
1006931,JuraHealth AG,jurahealth.com,Wound Care,United Kingdom,201-500,2025-06-07 08:00:30
1007199,Kardiomed S.L.,kardiomed.com,Diagnostics,Germany,201-500,2025-08-27 12:16:12
1007471,LumosDx d.o.o.,lumosdx.eu,Cardiovascular,Denmark,201-500,2025-04-01 18:13:46
1007598,MorphoSurg SE,morphosurg.io,Dental,Germany,201-500,2025-04-12 16:03:19
1007744,NeuroLink S.r.l.,neurolink.co,Healthcare IT,Germany,1-10,2025-01-19 11:09:13
1007869,OptiVision S.r.l.,optivision.de,Regulatory Consulting,Switzerland,201-500,2025-05-29 08:11:13
