deal_id,deal_name,pipeline,is_closed,is_closed_won,amount,close_date,create_date,hubspot_company_id,deal_type,currency,date_entered_pre_pitch,date_entered_pitching,date_entered_product_testing,date_entered_price_offering,date_entered_contract_negotiation,date_entered_closed_won,date_entered_closed_lost
20000000,Acumed ApS - Annual License,Sales Pipeline,True,True,12000,2025-09-29 01:47:03,2025-08-25 01:47:03,1000000,newbusiness,EUR,,2025-08-25 01:47:03,2025-09-15 01:47:03,,2025-09-22 01:47:03,2025-09-28 01:47:03,
20000256,Acumed ApS - Expansion,Sales Pipeline,False,False,8000,,2025-10-22 20:02:47,1000000,existing_business,EUR,2025-10-22 20:02:47,2025-12-09 20:02:47,2025-12-30 20:02:47,,,,
20000420,BioVance d.o.o. - Annual License,Sales Pipeline,True,True,7500,2025-09-26 17:05:48,2025-05-24 17:05:48,1000106,newbusiness,EUR,2025-05-24 17:05:48,2025-08-14 17:05:48,2025-08-25 17:05:48,2025-09-14 17:05:48,,2025-09-21 17:05:48,
20000604,BioVance d.o.o. - Upsell,Sales Pipeline,True,True,10000,2026-01-06 17:05:48,2025-12-20 17:05:48,1000106,existing_business,EUR,2025-12-20 17:05:48,2025-12-23 17:05:48,2025-12-27 17:05:48,,2026-01-01 17:05:48,2026-01-02 17:05:48,
20000884,ClearPath S.A. - Annual License,Sales Pipeline,True,True,8000,2024-09-17 23:01:51,2024-05-06 23:01:51,1000379,newbusiness,EUR,,2024-05-06 23:01:51,2024-05-24 23:01:51,,2024-06-02 23:01:51,2024-06-06 23:01:51,
20001030,DentalPro GmbH - Annual License,Sales Pipeline,True,True,12000,2025-09-11 21:47:57,2025-05-29 21:47:57,1000486,newbusiness,EUR,2025-05-29 21:47:57,,2025-06-24 21:47:57,2025-07-25 21:47:57,2025-08-24 21:47:57,2025-09-09 21:47:57,
20001204,DentalPro GmbH - Expansion,Sales Pipeline,False,False,10000,,2025-11-14 20:59:39,1000486,existing_business,EUR,2025-11-14 20:59:39,,,,,,
20001570,EvoMed SAS - Annual License,Sales Pipeline,True,True,20000,2025-07-06 19:20:40,2025-06-03 19:20:40,1000636,newbusiness,EUR,2025-06-03 19:20:40,,2025-06-16 19:20:40,2025-06-17 19:20:40,,2025-06-29 19:20:40,
20001923,FlexiSurg d.o.o. - Annual License,Sales Pipeline,True,True,18000,2025-01-31 20:31:59,2024-11-29 20:31:59,1000807,newbusiness,EUR,,2024-11-29 20:31:59,2024-12-06 20:31:59,2024-12-29 20:31:59,,2025-01-22 20:31:59,
20002045,GenomaTech AG - Annual License,Sales Pipeline,True,False,8000,2025-06-17 10:32:16,2024-12-09 10:32:16,1000994,newbusiness,EUR,2024-12-09 10:32:16,2024-12-13 10:32:16,2024-12-22 10:32:16,2025-01-07 10:32:16,2025-01-24 10:32:16,2025-02-07 10:32:16,2025-06-17 10:32:16
20002417,HealthBridge S.r.l. - Annual License,Sales Pipeline,True,True,5000,2025-07-04 08:11:54,2025-02-13 08:11:54,1001191,newbusiness,EUR,2025-02-13 08:11:54,2025-04-30 08:11:54,2025-05-29 08:11:54,,,2025-06-21 08:11:54,
20002740,HealthBridge S.r.l. - Upsell,Sales Pipeline,True,True,8000,2026-02-03 08:11:54,2025-12-27 08:11:54,1001191,existing_business,EUR,2025-12-27 08:11:54,2026-01-03 08:11:54,2026-01-09 08:11:54,,2026-01-22 08:11:54,2026-01-31 08:11:54,
20003220,InnoCare Oy - Annual License,Sales Pipeline,True,True,5000,2025-04-11 19:25:10,2024-11-30 19:25:10,1001477,newbusiness,EUR,2024-11-30 19:25:10,2025-02-02 19:25:10,,2025-02-21 19:25:10,2025-03-03 19:25:10,2025-03-13 19:25:10,
20003526,JointFlex d.o.o. - Annual License,Sales Pipeline,True,True,10000,2025-07-10 20:16:31,2025-04-05 20:16:31,1001737,newbusiness,EUR,,2025-04-05 20:16:31,2025-05-15 20:16:31,2025-05-21 20:16:31,2025-05-25 20:16:31,2025-06-14 20:16:31,
20003652,KineMed S.L. - Annual License,Sales Pipeline,True,False,10000,2026-02-04 00:00:00,2025-05-29 19:17:59,1001848,newbusiness,EUR,2025-05-29 19:17:59,2025-07-07 19:17:59,2025-07-17 19:17:59,2025-08-10 19:17:59,2025-08-26 19:17:59,2025-09-30 19:17:59,2026-02-04 00:00:00
20003917,KineMed S.L. - Expansion,Sales Pipeline,False,False,10000,,2025-12-24 16:59:33,1001848,existing_business,EUR,2025-12-24 16:59:33,2026-02-04 16:59:33,2026-02-07 16:59:33,2026-03-31 16:59:33,,,
20004358,LifeLink Inc - Annual License,Sales Pipeline,True,True,50000,2025-04-25 18:17:22,2025-02-01 18:17:22,1002045,newbusiness,EUR,2025-02-01 18:17:22,2025-02-20 18:17:22,2025-02-28 18:17:22,,2025-03-22 18:17:22,2025-04-19 18:17:22,
20004700,LifeLink Inc - Expansion,Sales Pipeline,False,False,8000,,2026-01-06 09:17:36,1002045,existing_business,EUR,2026-01-06 09:17:36,2026-02-11 09:17:36,,,,,
20005060,MedCore SE - Annual License,Sales Pipeline,True,True,10000,2025-07-13 04:31:46,2025-04-06 04:31:46,1002316,newbusiness,EUR,2025-04-06 04:31:46,2025-06-05 04:31:46,2025-06-12 04:31:46,2025-06-21 04:31:46,2025-06-25 04:31:46,2025-06-26 04:31:46,
20005298,NovaScan ApS - Annual License,Sales Pipeline,True,True,15000,2025-08-22 18:47:17,2025-03-25 18:47:17,1002602,newbusiness,EUR,2025-03-25 18:47:17,2025-04-09 18:47:17,2025-06-18 18:47:17,2025-06-23 18:47:17,,2025-08-01 18:47:17,
20005455,NovaScan ApS - Upsell,Sales Pipeline,True,True,5000,2026-02-08 00:00:00,2026-01-15 18:47:17,1002602,existing_business,EUR,2026-01-15 18:47:17,2026-01-21 18:47:17,2026-01-25 18:47:17,,,2026-01-31 18:47:17,
20005634,OrthoGen S.r.l. - Annual License,Sales Pipeline,True,True,10000,2025-10-23 02:50:05,2025-09-09 02:50:05,1002758,newbusiness,EUR,2025-09-09 02:50:05,2025-09-15 02:50:05,2025-09-25 02:50:05,,,2025-10-16 02:50:05,
20005997,OrthoGen S.r.l. - Upsell,Sales Pipeline,True,True,15000,2026-01-04 02:50:05,2025-12-19 02:50:05,1002758,existing_business,EUR,,2025-12-19 02:50:05,2025-12-23 02:50:05,2025-12-24 02:50:05,2025-12-27 02:50:05,2026-01-03 02:50:05,
20006335,PrecisionRx Inc - Annual License,Sales Pipeline,True,True,12000,2025-09-09 11:53:06,2025-08-08 11:53:06,1002960,newbusiness,EUR,2025-08-08 11:53:06,2025-08-14 11:53:06,2025-08-19 11:53:06,2025-08-22 11:53:06,2025-08-25 11:53:06,2025-09-01 11:53:06,
20006562,QualiTech SE - Annual License,Sales Pipeline,True,True,10000,2025-06-18 23:01:12,2025-02-10 23:01:12,1003227,newbusiness,EUR,2025-02-10 23:01:12,,2025-03-15 23:01:12,2025-04-06 23:01:12,2025-05-07 23:01:12,2025-05-18 23:01:12,
20006876,RegenMed S.A. - Annual License,Sales Pipeline,True,True,10000,2024-12-17 16:18:39,2024-08-27 16:18:39,1003517,newbusiness,EUR,2024-08-27 16:18:39,2024-09-10 16:18:39,2024-10-10 16:18:39,,2024-10-21 16:18:39,2024-11-18 16:18:39,
